Name,Why,Alternatives
"Arachne, Psionic Weaver","A 3-mana creature. A signature pick for Cosmic Spider-Man — 31% of those decks run it, far above its rate elsewhere (+30 synergy).",
Mary Jane Watson,"A creature that draws you cards. A signature pick for Cosmic Spider-Man — 68% of those decks run it, far above its rate elsewhere (+66 synergy).",
Web-Warriors,"A 5-mana creature. A signature pick for Cosmic Spider-Man — 57% of those decks run it, far above its rate elsewhere (+55 synergy).",
Spider-Bot,"A 2-mana artifact creature that tutors up exactly the piece you need. A signature pick for Cosmic Spider-Man — 37% of those decks run it, far above its rate elsewhere (+36 synergy).",
Spider-Punk,"A creature that makes your spells uncounterable. A signature pick for Cosmic Spider-Man — 83% of those decks run it, far above its rate elsewhere (+81 synergy).",
Roaming Throne,A 4-mana artifact creature that protects your board. Commonly played in The Ur-Dragon decks (31%).,
Radioactive Spider,"A 1-mana creature that tutors up exactly the piece you need. A signature pick for Cosmic Spider-Man — 82% of those decks run it, far above its rate elsewhere (+80 synergy).",
Miles Morales,"A 2-mana creature that protects your board. A signature pick for Cosmic Spider-Man — 74% of those decks run it, far above its rate elsewhere (+71 synergy).",
Aunt May,"A 1-mana creature. A signature pick for Cosmic Spider-Man — 74% of those decks run it, far above its rate elsewhere (+72 synergy).",
Spider Manifestation,"A creature that produces mana. A signature pick for Cosmic Spider-Man — 72% of those decks run it, far above its rate elsewhere (+69 synergy).",
"Spider-Ham, Peter Porker","A creature that makes tokens. A signature pick for Cosmic Spider-Man — 73% of those decks run it, far above its rate elsewhere (+71 synergy).",
"Spider-Woman, Stunning Savior","A creature that pushes damage through. A signature pick for Cosmic Spider-Man — 73% of those decks run it, far above its rate elsewhere (+70 synergy).",
Void Rend,"A 3-mana instant that removes a problem permanent. A signature pick for Y'shtola, Night's Blessed — 73% of those decks run it, far above its rate elsewhere (+38 synergy).",Swords to Plowshares; Path to Exile; Generous Gift
Daily Bugle Building,"A 0-mana land that produces mana. A signature pick for Cosmic Spider-Man — 47% of those decks run it, far above its rate elsewhere (+45 synergy).",
University Campus,A 0-mana land that produces mana. Commonly played in Cosmic Spider-Man decks (27%).,
Suburban Sanctuary,A 0-mana land that produces mana. Commonly played in Cosmic Spider-Man decks (29%).,
Myriad Landscape,A 0-mana land that tutors up exactly the piece you need — it fixes your mana for the deck. Commonly played in Kaervek the Merciless decks (37%).,
Rakdos Signet,A 2-mana artifact that produces mana. Commonly played in Kaervek the Merciless decks (59%).,Sol Ring; Arcane Signet; Mind Stone
Talisman of Indulgence,A 2-mana artifact that produces mana. Commonly played in Kaervek the Merciless decks (50%).,Sol Ring; Arcane Signet; Mind Stone
Worn Powerstone,"A 3-mana artifact that produces mana. A signature pick for Kaervek the Merciless — 34% of those decks run it, far above its rate elsewhere (+30 synergy).",Sol Ring; Arcane Signet; Mind Stone
Wayfarer's Bauble,A 1-mana artifact that tutors up exactly the piece you need — it accelerates your mana for the deck. Commonly played in Kaervek the Merciless decks (34%).,Sol Ring; Arcane Signet; Mind Stone
Burnished Hart,A 3-mana artifact creature that tutors up exactly the piece you need — it accelerates your mana for the deck. Commonly played in Kaervek the Merciless decks (33%).,Sol Ring; Arcane Signet; Mind Stone
Ambition's Cost,A 4-mana sorcery that draws you cards — it keeps your hand full for the deck.,Rhystic Study; Mystic Remora; Fact or Fiction
Syphon Mind,"A 4-mana sorcery that draws you cards — it keeps your hand full for the deck. Commonly played in Y'shtola, Night's Blessed decks (32%).",Rhystic Study; Mystic Remora; Fact or Fiction
Fiery Emancipation,A 6-mana enchantment. Commonly played in Kaervek the Merciless decks (32%).,
Spiteful Visions,A 4-mana enchantment. Commonly played in Kaervek the Merciless decks (36%).,
Rakdos Charm,A 2-mana instant that sweeps the board. Commonly played in Kaervek the Merciless decks (55%).,
Befoul,A 4-mana sorcery that removes a problem permanent.,Swords to Plowshares; Path to Exile; Generous Gift
Dark Banishing,A 3-mana instant that removes a problem permanent.,Swords to Plowshares; Path to Exile; Generous Gift
Feed the Swarm,A 2-mana sorcery that removes a problem permanent. Commonly played in Kaervek the Merciless decks (35%).,Swords to Plowshares; Path to Exile; Generous Gift
Pyroclasm,A 2-mana sorcery that sweeps the board.,Wrath of God; Farewell; Austere Command
Fiery Confluence,A 4-mana sorcery that sweeps the board.,
Vampire Nighthawk,A 3-mana creature that pushes damage through.,
Scythe Specter,A 6-mana creature that pays you off for attacking.,
Archfiend of Depravity,A 5-mana creature that pushes damage through.,
Bloodgift Demon,A 5-mana creature that pushes damage through.,
Indulgent Tormentor,A 5-mana creature that draws you cards. Commonly played in Kaervek the Merciless decks (29%).,
Brash Taunter,"A 5-mana creature that protects your board. A signature pick for Kaervek the Merciless — 50% of those decks run it, far above its rate elsewhere (+40 synergy).",
Tectonic Giant,A 4-mana creature that pays you off for attacking.,
Combustible Gearhulk,A 6-mana artifact creature that draws you cards.,
Dark Ritual,A 1-mana instant that produces mana. Commonly played in Kaervek the Merciless decks (49%).,
"Kardur, Doomscourge",A 4-mana creature that turns deaths into value. Commonly played in Kaervek the Merciless decks (36%).,
Warren Torchmaster,"A 2-mana creature that gives haste, so threats attack immediately.",
Ob Nixilis Reignited,A 5-mana planeswalker that removes a problem permanent.,
Dictate of the Twin Gods,"A 5-mana enchantment that scales or doubles your effects. A signature pick for Kaervek the Merciless — 48% of those decks run it, far above its rate elsewhere (+45 synergy).",
Morbid Opportunist,A 3-mana creature that draws you cards.,
Sangromancer,A 4-mana creature that turns deaths into value.,
"Squee, Goblin Nabob",A 3-mana creature that rebuys cards from your graveyard.,
Bloodfell Caves,A 0-mana land that produces mana. Commonly played in Kaervek the Merciless decks (35%).,
Smoldering Marsh,A 0-mana land that produces mana. A core inclusion for Kaervek the Merciless (66% of decks).,
Foreboding Ruins,A 0-mana land that produces mana. Commonly played in Kaervek the Merciless decks (53%).,
Temple of Malice,A 0-mana land that produces mana. Commonly played in Kaervek the Merciless decks (46%).,
Bojuka Bog,A 0-mana land that removes a problem permanent — it fixes your mana for the deck. Commonly played in Kaervek the Merciless decks (37%).,
High Market,A 0-mana land that produces mana.,
Sulfurous Springs,A 0-mana land that produces mana. Commonly played in Kaervek the Merciless decks (32%).,
Urborg Volcano,A 0-mana land that produces mana.,
Stensia Bloodhall,A 0-mana land that produces mana.,
Cinder Barrens,A 0-mana land that produces mana.,
Molten Slagheap,A 0-mana land that produces mana.,
Mana Geyser,A 5-mana sorcery that produces mana. Commonly played in Kaervek the Merciless decks (41%).,
The Ur-Dragon,A 9-mana creature that pushes damage through.,
Up the Beanstalk,A 2-mana enchantment that draws you cards — it keeps your hand full for the deck.,Rhystic Study; Mystic Remora; Fact or Fiction
Azorius Signet,A 2-mana artifact that produces mana.,Sol Ring; Arcane Signet; Mind Stone
Elvish Mystic,A 1-mana creature that produces mana.,Sol Ring; Arcane Signet; Mind Stone
Temur Ascendancy,"A 3-mana enchantment that draws you cards — it keeps your hand full for the deck. A signature pick for The Ur-Dragon — 58% of those decks run it, far above its rate elsewhere (+49 synergy).",Rhystic Study; Mystic Remora; Fact or Fiction
Gilded Goose,A 1-mana creature that produces mana.,Sol Ring; Arcane Signet; Mind Stone
Llanowar Elves,A 1-mana creature that produces mana.,Sol Ring; Arcane Signet; Mind Stone
"Sarkhan, Soul Aflame","A 3-mana creature. A signature pick for The Ur-Dragon — 50% of those decks run it, far above its rate elsewhere (+45 synergy).",
Insight,A 3-mana enchantment that draws you cards — it keeps your hand full for the deck.,Rhystic Study; Mystic Remora; Fact or Fiction
"Selvala, Heart of the Wilds",A 3-mana creature that draws you cards.,
Winged Words,A 3-mana sorcery that draws you cards — it keeps your hand full for the deck.,Rhystic Study; Mystic Remora; Fact or Fiction
Call the Spirit Dragons,"A 5-mana enchantment that can just win the game outright. A signature pick for The Ur-Dragon — 49% of those decks run it, far above its rate elsewhere (+43 synergy).",
Shatter,A 2-mana instant that removes a problem permanent.,Swords to Plowshares; Path to Exile; Generous Gift
Smite,A 1-mana instant that removes a problem permanent.,Swords to Plowshares; Path to Exile; Generous Gift
Vendetta,A 1-mana instant that removes a problem permanent.,Swords to Plowshares; Path to Exile; Generous Gift
Crux of Fate,"A 5-mana sorcery that sweeps the board. A signature pick for The Ur-Dragon — 71% of those decks run it, far above its rate elsewhere (+63 synergy).",Wrath of God; Farewell; Austere Command
Culling Ritual,A 4-mana sorcery that produces mana — it resets the board for the deck.,Wrath of God; Farewell; Austere Command
Dragon Tempest,"A 2-mana enchantment that gives haste, so threats attack immediately. A signature pick for The Ur-Dragon — 77% of those decks run it, far above its rate elsewhere (+69 synergy).",
"Dragonhawk, Fate's Tempest",A 5-mana creature that pays you off for attacking.,
"Ureni, the Song Unending",A 8-mana creature that protects your board.,
Rhythm of the Wild,"A 3-mana enchantment that makes your spells uncounterable. A signature pick for The Ur-Dragon — 42% of those decks run it, far above its rate elsewhere (+31 synergy).",
Dragonlord Dromoka,"A 6-mana creature that makes your spells uncounterable. A signature pick for The Ur-Dragon — 61% of those decks run it, far above its rate elsewhere (+54 synergy).",
"Lathliss, Dragon Queen","A 6-mana creature that makes tokens. A signature pick for The Ur-Dragon — 64% of those decks run it, far above its rate elsewhere (+57 synergy).",
"Miirym, Sentinel Wyrm","A 6-mana creature that makes tokens. A signature pick for The Ur-Dragon — 79% of those decks run it, far above its rate elsewhere (+70 synergy).",
"Rith, Liberated Primeval","A 5-mana creature that makes tokens. A signature pick for The Ur-Dragon — 42% of those decks run it, far above its rate elsewhere (+37 synergy).",
Hellkite Courser,"A 6-mana creature that gives haste, so threats attack immediately. A signature pick for The Ur-Dragon — 54% of those decks run it, far above its rate elsewhere (+50 synergy).",
Scourge of Valkas,"A 5-mana creature that pushes damage through. A signature pick for The Ur-Dragon — 50% of those decks run it, far above its rate elsewhere (+45 synergy).",
Fin Fang Foom,A 4-mana creature that pushes damage through.,
Pet Avengers,A 4-mana creature that makes tokens.,
"Atarka, World Render","A 7-mana creature that pays you off for attacking. A signature pick for The Ur-Dragon — 65% of those decks run it, far above its rate elsewhere (+58 synergy).",
"Atsushi, the Blazing Sky",A 4-mana creature that makes tokens.,
Parapet Thrasher,A 4-mana creature that removes a problem permanent.,
Hellkite Tyrant,A 6-mana creature that can just win the game outright.,
"Ganax, Astral Hunter",A 5-mana creature that produces mana. Commonly played in The Ur-Dragon decks (27%).,
Scalelord Reckoner,A 5-mana creature that removes a problem permanent. Commonly played in The Ur-Dragon decks (31%).,
"Silumgar, the Drifting Death","A 6-mana creature that pays you off for attacking. A signature pick for The Ur-Dragon — 34% of those decks run it, far above its rate elsewhere (+30 synergy).",
Wrathful Red Dragon,A 5-mana creature that pushes damage through.,
Dragonlord Ojutai,A 5-mana creature that pays you off for attacking.,
Terror of the Peaks,"A creature that pushes damage through. A signature pick for The Ur-Dragon — 60% of those decks run it, far above its rate elsewhere (+53 synergy).",
Dragonspeaker Shaman,"A creature. A signature pick for The Ur-Dragon — 58% of those decks run it, far above its rate elsewhere (+51 synergy).",
Old Gnawbone,"A creature that makes tokens. A signature pick for The Ur-Dragon — 57% of those decks run it, far above its rate elsewhere (+50 synergy).",
"Niv-Mizzet, Visionary",A 6-mana creature that pushes damage through.,
Two-Headed Dragon,A 6-mana creature that pushes damage through.,
"Vaevictis Asmadi, the Dire",A 6-mana creature that pays you off for attacking.,
Tiamat,"A creature that tutors up exactly the piece you need. A signature pick for The Ur-Dragon — 68% of those decks run it, far above its rate elsewhere (+62 synergy).",
"Ao, the Dawn Sky",A 5-mana creature that pushes damage through.,
Haven of the Spirit Dragon,"A 0-mana land that produces mana. A signature pick for The Ur-Dragon — 66% of those decks run it, far above its rate elsewhere (+59 synergy).",
Dark Fortress,A 0-mana land that produces mana.,
Omashu City,A 0-mana land that draws you cards — it fixes your mana for the deck.,
Spectacle Summit,A 0-mana land that produces mana.,
Study Hall,A 0-mana land that produces mana.,
Thriving Bluff,A 0-mana land that produces mana.,
Tranquil Cove,A 0-mana land that produces mana.,
Villainous Hideout,A 0-mana land that draws you cards — it fixes your mana for the deck.,
Blossoming Sands,A 0-mana land that produces mana.,
Bonders' Enclave,"A 0-mana land that draws you cards — it fixes your mana for the deck. A signature pick for Cloud, Ex-SOLDIER — 45% of those decks run it, far above its rate elsewhere (+40 synergy).",
Castle Doom,A 0-mana land that produces mana.,
Coastal Tower,A 0-mana land that produces mana.,
"Emeria, the Sky Ruin",A 0-mana land that produces mana.,
Faerie Conclave,A 0-mana land that produces mana.,
Festering Thicket,A 0-mana land that draws you cards — it fixes your mana for the deck.,
Fire Nation Palace,A 0-mana land that produces mana.,
Forbidding Watchtower,A 0-mana land that produces mana.,
Forum of Amity,A 0-mana land that produces mana.,
Fountain of Cho,A 0-mana land that produces mana.,
Chromatic Lantern,A 3-mana artifact that produces mana. Commonly played in The Ur-Dragon decks (53%).,
"Y'shtola, Night's Blessed",A 4-mana creature that draws you cards.,
Archmage Emeritus,"A 4-mana creature that draws you cards. A signature pick for Y'shtola, Night's Blessed — 43% of those decks run it, far above its rate elsewhere (+36 synergy).",
Emet-Selch of the Third Seat,"A 4-mana creature. A signature pick for Y'shtola, Night's Blessed — 54% of those decks run it, far above its rate elsewhere (+45 synergy).",
"Fandaniel, Telophoroi Ascian","A 5-mana creature that scales or doubles your effects. A signature pick for Y'shtola, Night's Blessed — 39% of those decks run it, far above its rate elsewhere (+33 synergy).",
Alphinaud Leveilleur,"A 4-mana creature that draws you cards. A signature pick for Y'shtola, Night's Blessed — 41% of those decks run it, far above its rate elsewhere (+33 synergy).",
Serra Paragon,A 4-mana creature that pushes damage through.,
Papalymo Totolymo,"A 2-mana creature. A signature pick for Y'shtola, Night's Blessed — 60% of those decks run it, far above its rate elsewhere (+50 synergy).",
Lyse Hext,"A 3-mana creature that scales or doubles your effects. A signature pick for Y'shtola, Night's Blessed — 53% of those decks run it, far above its rate elsewhere (+44 synergy).",
Mystical Tutor,A 1-mana instant that tutors up exactly the piece you need.,
Absorb,A 3-mana instant that counters a spell — it protects your turn on the stack for the deck.,Counterspell; Swan Song; An Offer You Can't Refuse
Sphinx's Revelation,A 3-mana instant that draws you cards — it keeps your hand full for the deck.,Rhystic Study; Mystic Remora; Fact or Fiction
Snuff Out,"A 4-mana instant that removes a problem permanent. A signature pick for Y'shtola, Night's Blessed — 76% of those decks run it, far above its rate elsewhere (+66 synergy).",Swords to Plowshares; Path to Exile; Generous Gift
Lethal Scheme,"A 4-mana instant that sweeps the board — it answers a problem permanent for the deck. Commonly played in Y'shtola, Night's Blessed decks (31%).",Swords to Plowshares; Path to Exile; Generous Gift
Curiosity,"An enchantment that draws you cards. A signature pick for Y'shtola, Night's Blessed — 63% of those decks run it, far above its rate elsewhere (+54 synergy).",
Sublime Epiphany,A 6-mana instant that counters a spell — it keeps your hand full for the deck.,Rhystic Study; Mystic Remora; Fact or Fiction
Dig Through Time,"A 8-mana instant that keeps your hand full. A signature pick for Y'shtola, Night's Blessed — 36% of those decks run it, far above its rate elsewhere (+30 synergy).",Rhystic Study; Mystic Remora; Fact or Fiction
Profane Command,A 2-mana sorcery that rebuys cards from your graveyard.,
Vindicate,"A 3-mana sorcery that removes a problem permanent. A signature pick for Y'shtola, Night's Blessed — 49% of those decks run it, far above its rate elsewhere (+38 synergy).",Swords to Plowshares; Path to Exile; Generous Gift
Godless Shrine,"A land that produces mana. Commonly played in Y'shtola, Night's Blessed decks (56%).",
Extinction Event,A 4-mana sorcery that sweeps the board.,Wrath of God; Farewell; Austere Command
Time Wipe,A 5-mana sorcery that sweeps the board.,Wrath of God; Farewell; Austere Command
Transpose,"A 3-mana instant that draws you cards. A signature pick for Y'shtola, Night's Blessed — 47% of those decks run it, far above its rate elsewhere (+40 synergy).",
Authority of the Consuls,"A 1-mana enchantment. A signature pick for Y'shtola, Night's Blessed — 44% of those decks run it, far above its rate elsewhere (+30 synergy).",
Staggering Insight,A 2-mana enchantment that draws you cards — it keeps your hand full for the deck.,Rhystic Study; Mystic Remora; Fact or Fiction
Propaganda,"A 3-mana enchantment that sweeps the board. A signature pick for Y'shtola, Night's Blessed — 75% of those decks run it, far above its rate elsewhere (+46 synergy).",
Watery Grave,"A land that produces mana. Commonly played in Y'shtola, Night's Blessed decks (56%).",
Alisaie Leveilleur,"A 3-mana creature. A signature pick for Y'shtola, Night's Blessed — 46% of those decks run it, far above its rate elsewhere (+37 synergy).",
Arcane Sanctum,"A 0-mana land that produces mana. A core inclusion for Y'shtola, Night's Blessed (60% of decks).",
Choked Estuary,"A 0-mana land that produces mana. Commonly played in Y'shtola, Night's Blessed decks (39%).",
Darkwater Catacombs,"A 0-mana land that produces mana. Commonly played in Y'shtola, Night's Blessed decks (37%).",
Drowned Catacomb,"A 0-mana land that produces mana. A core inclusion for Y'shtola, Night's Blessed (66% of decks).",
Isolated Chapel,"A 0-mana land that produces mana. A core inclusion for Y'shtola, Night's Blessed (65% of decks).",
Underground River,"A 0-mana land that produces mana. A signature pick for Y'shtola, Night's Blessed — 66% of those decks run it, far above its rate elsewhere (+30 synergy).",
Sunken Hollow,"A 0-mana land that produces mana. Commonly played in Y'shtola, Night's Blessed decks (53%).",
Skycloud Expanse,"A 0-mana land that produces mana. Commonly played in Y'shtola, Night's Blessed decks (37%).",
Fetid Heath,"A 0-mana land that produces mana. A signature pick for Y'shtola, Night's Blessed — 46% of those decks run it, far above its rate elsewhere (+33 synergy).",
Sunken Ruins,"A 0-mana land that produces mana. A signature pick for Y'shtola, Night's Blessed — 47% of those decks run it, far above its rate elsewhere (+37 synergy).",
Desolate Mire,"A 0-mana land that produces mana. Commonly played in Y'shtola, Night's Blessed decks (33%).",
Shineshadow Snarl,"A 0-mana land that produces mana. Commonly played in Y'shtola, Night's Blessed decks (37%).",
Contaminated Aquifer,A 0-mana land that produces mana.,
Sunlit Marsh,A 0-mana land that produces mana.,
Idyllic Beachfront,A 0-mana land that produces mana.,
Ash Barrens,"A 0-mana land that tutors up exactly the piece you need — it fixes your mana for the deck. Commonly played in Cloud, Ex-SOLDIER decks (30%).",
Demolition Field,"A 0-mana land that tutors up exactly the piece you need — it fixes your mana for the deck. Commonly played in Y'shtola, Night's Blessed decks (27%).",
Circle of Power,"A 4-mana sorcery that draws you cards. A signature pick for Y'shtola, Night's Blessed — 39% of those decks run it, far above its rate elsewhere (+33 synergy).",
